DATE,CSX1
2019-08-15,-0.42500000000000004
2019-08-16,-0.33906250000000004
2019-08-17,-0.25312500000000004
2019-08-18,-0.16718750000000004
2019-08-19,-0.08125000000000004
2019-08-20,0.004687499999999956
2019-08-21,0.09062499999999996
2019-08-22,0.17656249999999996
2019-08-23,0.26249999999999996
2019-08-24,0.34843749999999996
2019-08-25,0.43437499999999996
2019-08-26,0.5203125
2019-08-27,0.60625
2019-08-28,0.6921875
2019-08-29,0.778125
2019-08-30,0.8640625
2019-08-31,0.95
2019-09-01,1.0359375
2019-09-02,1.121875
2019-09-03,1.2078125
2019-09-04,1.29375
2019-09-05,1.3796875
2019-09-06,1.465625
2019-09-07,1.5515625
2019-09-08,1.6375
2019-09-09,1.7234375
2019-09-10,1.809375
2019-09-11,1.8953125
2019-09-12,1.98125
2019-09-13,2.0671875
2019-09-14,2.153125
2019-09-15,2.2390625
2019-09-16,2.325
2019-09-17,2.4109375
2019-09-18,2.496875
2019-09-19,2.5828125
2019-09-20,2.66875
2019-09-21,2.7546875
2019-09-22,2.840625
2019-09-23,2.9265625
2019-09-24,3.0125
2019-09-25,3.0984375
2019-09-26,3.184375
2019-09-27,3.2703125
2019-09-28,3.35625
2019-09-29,3.4421875
2019-09-30,3.528125
2019-10-01,3.6140625
2019-10-02,3.7
2019-10-03,3.510909090909091
2019-10-04,3.3218181818181822
2019-10-05,3.132727272727273
2019-10-06,2.943636363636364
2019-10-07,2.754545454545455
2019-10-08,2.5654545454545454
2019-10-09,2.3763636363636365
2019-10-10,2.1872727272727275
2019-10-11,1.9981818181818185
2019-10-12,1.8090909090909093
2019-10-13,1.62
2019-10-14,1.4309090909090911
2019-10-15,1.2418181818181822
2019-10-16,1.0527272727272727
2019-10-17,0.8636363636363638
2019-10-18,0.6745454545454548
2019-10-19,0.4854545454545458
2019-10-20,0.29636363636363683
2019-10-21,0.10727272727272741
2019-10-22,-0.08181818181818157
2019-10-23,-0.27090909090909054
2019-10-24,-0.45999999999999996
2019-10-25,-0.6490909090909085
2019-10-26,-0.8381818181818179
2019-10-27,-1.0272727272727273
2019-10-28,-1.2163636363636359
2019-10-29,-1.4054545454545453
2019-10-30,-1.5945454545454547
2019-10-31,-1.7836363636363632
2019-11-01,-1.9727272727272727
2019-11-02,-2.161818181818181
2019-11-03,-2.3509090909090906
2019-11-04,-2.54
2019-11-05,-2.7290909090909086
2019-11-06,-2.918181818181818
2019-11-07,-3.1072727272727265
2019-11-08,-3.296363636363636
2019-11-09,-3.4854545454545454
2019-11-10,-3.674545454545454
2019-11-11,-3.8636363636363633
2019-11-12,-4.052727272727273
2019-11-13,-4.241818181818181
2019-11-14,-4.430909090909091
2019-11-15,-4.62
2019-11-16,-4.8090909090909095
2019-11-17,-4.998181818181817
2019-11-18,-5.187272727272727
2019-11-19,-5.376363636363636
2019-11-20,-5.565454545454545
2019-11-21,-5.754545454545455
2019-11-22,-5.9436363636363625
2019-11-23,-6.132727272727272
2019-11-24,-6.321818181818181
2019-11-25,-6.510909090909091
2019-11-26,-6.7
2019-11-27,-6.628395061728395
2019-11-28,-6.55679012345679
2019-11-29,-6.485185185185185
2019-11-30,-6.413580246913581
2019-12-01,-6.341975308641976
2019-12-02,-6.270370370370371
2019-12-03,-6.1987654320987655
2019-12-04,-6.12716049382716
2019-12-05,-6.055555555555555
2019-12-06,-5.98395061728395
2019-12-07,-5.912345679012346
2019-12-08,-5.840740740740741
2019-12-09,-5.769135802469136
2019-12-10,-5.697530864197531
2019-12-11,-5.625925925925926
2019-12-12,-5.554320987654322
2019-12-13,-5.4827160493827165
2019-12-14,-5.411111111111111
2019-12-15,-5.339506172839506
2019-12-16,-5.267901234567901
2019-12-17,-5.196296296296296
2019-12-18,-5.124691358024691
2019-12-19,-5.053086419753086
2019-12-20,-4.981481481481482
2019-12-21,-4.909876543209877
2019-12-22,-4.838271604938272
2019-12-23,-4.766666666666667
2019-12-24,-4.695061728395062
2019-12-25,-4.623456790123457
2019-12-26,-4.551851851851852
2019-12-27,-4.480246913580247
2019-12-28,-4.408641975308642
2019-12-29,-4.337037037037037
2019-12-30,-4.265432098765432
2019-12-31,-4.193827160493827
2020-01-01,-4.122222222222222
2020-01-02,-4.050617283950618
2020-01-03,-3.9790123456790125
2020-01-04,-3.9074074074074074
2020-01-05,-3.8358024691358024
2020-01-06,-3.7641975308641977
2020-01-07,-3.6925925925925926
2020-01-08,-3.6209876543209876
2020-01-09,-3.549382716049383
2020-01-10,-3.477777777777778
2020-01-11,-3.406172839506173
2020-01-12,-3.334567901234568
2020-01-13,-3.262962962962963
2020-01-14,-3.191358024691358
2020-01-15,-3.1197530864197534
2020-01-16,-3.0481481481481483
2020-01-17,-2.976543209876543
2020-01-18,-2.9049382716049386
2020-01-19,-2.8333333333333335
2020-01-20,-2.7617283950617284
2020-01-21,-2.6901234567901238
2020-01-22,-2.6185185185185187
2020-01-23,-2.5469135802469136
2020-01-24,-2.4753086419753085
2020-01-25,-2.4037037037037035
2020-01-26,-2.3320987654320993
2020-01-27,-2.260493827160494
2020-01-28,-2.188888888888889
2020-01-29,-2.117283950617284
2020-01-30,-2.045679012345679
2020-01-31,-1.9740740740740739
2020-02-01,-1.9024691358024688
2020-02-02,-1.8308641975308646
2020-02-03,-1.7592592592592595
2020-02-04,-1.6876543209876544
2020-02-05,-1.6160493827160494
2020-02-06,-1.5444444444444443
2020-02-07,-1.4728395061728392
2020-02-08,-1.401234567901235
2020-02-09,-1.32962962962963
2020-02-10,-1.2580246913580249
2020-02-11,-1.1864197530864198
2020-02-12,-1.1148148148148147
2020-02-13,-1.0432098765432096
2020-02-14,-0.9716049382716045
2020-02-15,-0.9
2020-02-16,-0.8994047619047619
2020-02-17,-0.8988095238095238
2020-02-18,-0.8982142857142857
2020-02-19,-0.8976190476190476
2020-02-20,-0.8970238095238096
2020-02-21,-0.8964285714285715
2020-02-22,-0.8958333333333334
2020-02-23,-0.8952380952380953
2020-02-24,-0.8946428571428572
2020-02-25,-0.8940476190476191
2020-02-26,-0.893452380952381
2020-02-27,-0.8928571428571429
2020-02-28,-0.8922619047619048
2020-02-29,-0.8916666666666667
2020-03-01,-0.8910714285714286
2020-03-02,-0.8904761904761905
2020-03-03,-0.8898809523809524
2020-03-04,-0.8892857142857143
2020-03-05,-0.8886904761904763
2020-03-06,-0.8880952380952382
2020-03-07,-0.8875000000000001
2020-03-08,-0.886904761904762
2020-03-09,-0.8863095238095239
2020-03-10,-0.8857142857142858
2020-03-11,-0.8851190476190477
2020-03-12,-0.8845238095238096
2020-03-13,-0.8839285714285715
2020-03-14,-0.8833333333333333
2020-03-15,-0.8827380952380952
2020-03-16,-0.8821428571428571
2020-03-17,-0.881547619047619
2020-03-18,-0.8809523809523809
2020-03-19,-0.8803571428571428
2020-03-20,-0.8797619047619047
2020-03-21,-0.8791666666666667
2020-03-22,-0.8785714285714286
2020-03-23,-0.8779761904761905
2020-03-24,-0.8773809523809524
2020-03-25,-0.8767857142857143
2020-03-26,-0.8761904761904762
2020-03-27,-0.8755952380952381
2020-03-28,-0.875
2020-03-29,-0.8744047619047619
2020-03-30,-0.8738095238095238
2020-03-31,-0.8732142857142857
2020-04-01,-0.8726190476190476
2020-04-02,-0.8720238095238095
2020-04-03,-0.8714285714285714
2020-04-04,-0.8708333333333333
2020-04-05,-0.8702380952380953
2020-04-06,-0.8696428571428572
2020-04-07,-0.8690476190476191
2020-04-08,-0.868452380952381
2020-04-09,-0.8678571428571429
2020-04-10,-0.8672619047619048
2020-04-11,-0.8666666666666667
2020-04-12,-0.8660714285714286
2020-04-13,-0.8654761904761905
2020-04-14,-0.8648809523809524
2020-04-15,-0.8642857142857143
2020-04-16,-0.8636904761904762
2020-04-17,-0.8630952380952381
2020-04-18,-0.8625
2020-04-19,-0.861904761904762
2020-04-20,-0.8613095238095239
2020-04-21,-0.8607142857142858
2020-04-22,-0.8601190476190477
2020-04-23,-0.8595238095238096
2020-04-24,-0.8589285714285715
2020-04-25,-0.8583333333333334
2020-04-26,-0.8577380952380953
2020-04-27,-0.8571428571428572
2020-04-28,-0.8565476190476191
2020-04-29,-0.855952380952381
2020-04-30,-0.8553571428571429
2020-05-01,-0.8547619047619048
2020-05-02,-0.8541666666666667
2020-05-03,-0.8535714285714286
2020-05-04,-0.8529761904761906
2020-05-05,-0.8523809523809525
2020-05-06,-0.8517857142857144
2020-05-07,-0.8511904761904763
2020-05-08,-0.8505952380952382
2020-05-09,-0.8500000000000001
2020-05-10,-0.849404761904762
2020-05-11,-0.8488095238095239
2020-05-12,-0.8482142857142858
2020-05-13,-0.8476190476190476
2020-05-14,-0.8470238095238095
2020-05-15,-0.8464285714285714
2020-05-16,-0.8458333333333333
2020-05-17,-0.8452380952380952
2020-05-18,-0.8446428571428571
2020-05-19,-0.844047619047619
2020-05-20,-0.843452380952381
2020-05-21,-0.8428571428571429
2020-05-22,-0.8422619047619048
2020-05-23,-0.8416666666666667
2020-05-24,-0.8410714285714286
2020-05-25,-0.8404761904761905
2020-05-26,-0.8398809523809524
2020-05-27,-0.8392857142857143
2020-05-28,-0.8386904761904762
2020-05-29,-0.8380952380952381
2020-05-30,-0.8375
2020-05-31,-0.8369047619047619
2020-06-01,-0.8363095238095238
2020-06-02,-0.8357142857142857
2020-06-03,-0.8351190476190476
2020-06-04,-0.8345238095238096
2020-06-05,-0.8339285714285715
2020-06-06,-0.8333333333333334
2020-06-07,-0.8327380952380953
2020-06-08,-0.8321428571428572
2020-06-09,-0.8315476190476191
2020-06-10,-0.830952380952381
2020-06-11,-0.8303571428571429
2020-06-12,-0.8297619047619048
2020-06-13,-0.8291666666666667
2020-06-14,-0.8285714285714286
2020-06-15,-0.8279761904761905
2020-06-16,-0.8273809523809524
2020-06-17,-0.8267857142857143
2020-06-18,-0.8261904761904763
2020-06-19,-0.8255952380952382
2020-06-20,-0.8250000000000001
2020-06-21,-0.824404761904762
2020-06-22,-0.8238095238095239
2020-06-23,-0.8232142857142858
2020-06-24,-0.8226190476190477
2020-06-25,-0.8220238095238096
2020-06-26,-0.8214285714285715
2020-06-27,-0.8208333333333334
2020-06-28,-0.8202380952380953
2020-06-29,-0.8196428571428572
2020-06-30,-0.8190476190476191
2020-07-01,-0.818452380952381
2020-07-02,-0.817857142857143
2020-07-03,-0.8172619047619047
2020-07-04,-0.8166666666666667
2020-07-05,-0.8160714285714286
2020-07-06,-0.8154761904761905
2020-07-07,-0.8148809523809524
2020-07-08,-0.8142857142857143
2020-07-09,-0.8136904761904762
2020-07-10,-0.8130952380952381
