DATE,CSX1,CSX2,CSX3,CSX4,CSX5,3D_displ_mm,H_displ_mm,V_displ_mm
2021-12-27,-5.58235294117647,-6.444117647058824,-5.185294117647059,-2.7029411764705884,-3.552941176470588,8.313965646,5.055665104,6.600172355
2021-12-28,-5.652941176470588,-6.517647058823529,-5.294117647058823,-2.7411764705882353,-3.541176470588235,9.57656673,8.227910467,4.90021629
2021-12-30,-5.723529411764706,-6.591176470588236,-5.402941176470588,-2.7794117647058822,-3.5294117647058822,12.31197275,8.711497255,8.700257954
2021-12-31,-5.794117647058823,-6.6647058823529415,-5.511764705882353,-2.8176470588235296,-3.5176470588235293,10.50981011,9.497544878,4.500305532
2022-01-01,-5.864705882352942,-6.738235294117647,-5.620588235294117,-2.8558823529411765,-3.5058823529411764,9.509488314,7.895447437,5.30021488
2022-01-02,-5.935294117647059,-6.811764705882354,-5.7294117647058815,-2.894117647058824,-3.4941176470588236,9.391941887,8.131182406,4.700260108
2022-01-03,-6.0058823529411764,-6.885294117647059,-5.838235294117647,-2.932352941176471,-3.4823529411764707,10.62574167,7.322061964,7.700246403
2022-01-05,-6.076470588235294,-6.958823529411765,-5.947058823529412,-2.9705882352941178,-3.4705882352941178,9.447390715,6.759440923,6.600238611
2022-01-06,-6.147058823529411,-7.032352941176471,-6.055882352941175,-3.0088235294117647,-3.4588235294117644,9.166897819,6.256115644,6.700226315
2022-01-08,-6.2176470588235295,-7.105882352941177,-6.164705882352941,-3.047058823529412,-3.4470588235294115,8.493342649,6.204371092,5.800228332
2022-01-09,-6.288235294117647,-7.179411764705883,-6.273529411764706,-3.085294117647059,-3.4352941176470586,9.827104619,4.754880649,8.600179952
2022-01-10,-6.358823529411765,-7.252941176470589,-6.38235294117647,-3.1235294117647063,-3.4235294117647057,10.39895578,6.64341279,8.000209242
2022-01-12,-6.429411764705883,-7.326470588235295,-6.491176470588234,-3.1617647058823533,-3.411764705882353,7.869344883,6.455614307,4.50018142
2022-01-27,-6.5,-7.4,-6.6,-3.2,-3.4,7.869344883,6.455614307,4.50018142
2022-05-11,-2.6,-5.3,-1.5,-1.8,-1.9,7.869344883,6.455614307,4.50018142
